code,description,last_updated
A1001007DRESSING FOR ONE WOUND                                                          DRESSING FOR ONE WOUND                                                                                                                    C                                      2002070120020701        N,,2025-11-19 23:10:51
A2001007DRESSING FOR TWO WOUNDS                                                         DRESSING FOR TWO WOUNDS                                                                                                                   C                                      2002070120020701        N,,2025-11-19 23:10:51
A3001007DRESSING FOR THREE WOUNDS                                                       DRESSING FOR THREE WOUNDS                                                                                                                 C                                      2002070120020701        N,,2025-11-19 23:10:51
A4001007DRESSING FOR FOUR WOUNDS                                                        DRESSING FOR FOUR WOUNDS                                                                                                                  C                                      2002070120020701        N,,2025-11-19 23:10:51
A5001007DRESSING FOR FIVE WOUNDS                                                        DRESSING FOR FIVE WOUNDS                                                                                                                  C                                      2002070120020701        N,,2025-11-19 23:10:51
A6001007DRESSING FOR SIX WOUNDS                                                         DRESSING FOR SIX WOUNDS                                                                                                                   C                                      2002070120020701        N,,2025-11-19 23:10:51
A7001007DRESSING FOR SEVEN WOUNDS                                                       DRESSING FOR SEVEN WOUNDS                                                                                                                 C                                      2002070120020701        N,,2025-11-19 23:10:51
A8001007DRESSING FOR EIGHT WOUNDS                                                       DRESSING FOR EIGHT WOUNDS                                                                                                                 C                                      2002070120020701        N,,2025-11-19 23:10:51
A9001007DRESSING FOR NINE OR MORE WOUNDS                                                DRESSING FOR 9 OR MORE WOUND                                                                                                              C                                      2002070120020701        N,,2025-11-19 23:10:51
AA001007ANESTHESIA SERVICES PERFORMED PERSONALLY BY ANESTHESIOLOGIST                    ANESTHESIA PERF BY ANESGST                             3350.5                                                                             D                                      1984010120010101        N,,2025-11-19 23:10:51
AB001007AUDIOLOGY SERVICE FURNISHED PERSONALLY BY AN AUDIOLOGIST WITHOUT A              AUD SVS W/O ORDER EVRY 12MO                                                                                                               C                                      2023010120230101        N,,2025-11-19 23:10:51
AB002008PHYSICIAN/NPP ORDER FOR NON-ACUTE HEARING ASSESSMENT UNRELATED TO,,2025-11-19 23:10:51
"AB003008DISEQUILIBRIUM, OR HEARING AIDS, OR EXAMINATIONS FOR THE PURPOSE OF",,2025-11-19 23:10:51
"AB004008PRESCRIBING, FITTING, OR CHANGING HEARING AIDS; SERVICE MAY BE PERFORMED ONCE",,2025-11-19 23:10:51
"AB005008EVERY 12 MONTHS, PER BENEFICIARY",,2025-11-19 23:10:51
"AD001007MEDICAL SUPERVISION BY A PHYSICIAN: MORE THAN FOUR CONCURRENT ANESTHESIA        MD SUPERVISION, >4 ANES PROC                           3350.5                                                                             D                                      1984010120010101        N",,2025-11-19 23:10:51
AD002008PROCEDURES,,2025-11-19 23:10:51
AE001007REGISTERED DIETICIAN                                                            REGISTERED DIETICIAN                                                                                                                      C                                      2005010120050101        N,,2025-11-19 23:10:51
AF001007SPECIALTY PHYSICIAN                                                             SPECIALTY PHYSICIAN                                                                                                                       C                                      2005010120050101        N,,2025-11-19 23:10:51
AG001007PRIMARY PHYSICIAN                                                               PRIMARY PHYSICIAN                                                                                                                         C                                      2005010120050101        N,,2025-11-19 23:10:51
AH001007CLINICAL PSYCHOLOGIST                                                           CLINICAL PSYCHOLOGIST                                  2150    5112                                                                       D                                      1991010119970101        N,,2025-11-19 23:10:51
AI001007PRINCIPAL PHYSICIAN OF RECORD                                                   PRINCIPAL PHYSICIAN OF REC                                                                                                                C                                      2010010120100101        N,,2025-11-19 23:10:51
AJ001007CLINICAL SOCIAL WORKER                                                          CLINICAL SOCIAL WORKER                                 2152    5113                                                                       D                                      1991010119970101        N,,2025-11-19 23:10:51
AK001007NON PARTICIPATING PHYSICIAN                                                     NON PARTICIPATING PHYSICIAN                                                                                                               C                                      2005010120050101        N,,2025-11-19 23:10:51
"AM001007PHYSICIAN, TEAM MEMBER SERVICE                                                  PHYSICIAN, TEAM MEMBER SVC                             4105.7                                                    QM                       D                      0069            1991010119970101        N",,2025-11-19 23:10:51
AO001007ALTERNATE PAYMENT METHOD DECLINED BY PROVIDER OF SERVICE                        PROV DECLINED ALT PMT METHOD                                                                                                              C                                      2013100120131001        N,,2025-11-19 23:10:51
AP001007DETERMINATION OF REFRACTIVE STATE WAS NOT PERFORMED IN THE COURSE OF DIAGNOSTIC NO DTMN OF REFRACTIVE STATE                                                                                                               C                                      1984010119970101        N,,2025-11-19 23:10:51
AP002008OPHTHALMOLOGICAL EXAMINATION,,2025-11-19 23:10:51
AQ001007PHYSICIAN PROVIDING A SERVICE IN AN UNLISTED HEALTH PROFESSIONAL SHORTAGE AREA  PHYSICIAN SERVICE HPSA AREA                                                                                                               C                                      2006010120060101        N,,2025-11-19 23:10:51
AQ002008(HPSA),,2025-11-19 23:10:51
AR001007PHYSICIAN PROVIDER SERVICES IN A PHYSICIAN SCARCITY AREA                        PHYSICIAN SCARCITY AREA                                                                                                                   C                                      2005010120050101        N,,2025-11-19 23:10:51
"AS001007PHYSICIAN ASSISTANT, NURSE PRACTITIONER, OR CLINICAL NURSE SPECIALIST SERVICES  ASSISTANT AT SURGERY SERVICE                                                                                                              C                      0069            1988010119990101        N",,2025-11-19 23:10:51
AS002008FOR ASSISTANT AT SURGERY,,2025-11-19 23:10:51
"AT001007ACUTE TREATMENT (THIS MODIFIER SHOULD BE USED WHEN REPORTING SERVICE 98940,     ACUTE TREATMENT                                                                                                                           C                                      1984010119980101        N",,2025-11-19 23:10:51
"AT00200898941, 98942)",,2025-11-19 23:10:51
"AU001007ITEM FURNISHED IN CONJUNCTION WITH A UROLOGICAL, OSTOMY, OR TRACHEOSTOMY SUPPLY URO, OSTOMY OR TRACH ITEM                                                                                                                 C                                      2003010120030101        N",,2025-11-19 23:10:51
"AV001007ITEM FURNISHED IN CONJUNCTION WITH A PROSTHETIC DEVICE, PROSTHETIC OR ORTHOTIC  ITEM W PROSTHETIC/ORTHOTIC                                                                                                                C                                      2003010120030101        N",,2025-11-19 23:10:51
AW001007ITEM FURNISHED IN CONJUNCTION WITH A SURGICAL DRESSING                          ITEM W A SURGICAL DRESSING                                                                                                                C                                      2003010120030101        N,,2025-11-19 23:10:51
AX001007ITEM FURNISHED IN CONJUNCTION WITH DIALYSIS SERVICES                            ITEM W DIALYSIS SERVICES                                                                                                                  C                                      2003010120030101        N,,2025-11-19 23:10:51
AY001007ITEM OR SERVICE FURNISHED TO AN ESRD PATIENT THAT IS NOT FOR THE TREATMENT OF   ITEM/SERVICE NOT FOR ESRD TX                                                                                                              C                                      2011010120110101        N,,2025-11-19 23:10:51
AY002008ESRD,,2025-11-19 23:10:51
AZ001007PHYSICIAN PROVIDING A SERVICE IN A DENTAL HEALTH PROFESSIONAL SHORTAGE AREA FOR PHYSICIAN SERV IN DENT HPSA                                                                                                               I                                      2011010120110101        N,,2025-11-19 23:10:51
AZ002008THE PURPOSE OF AN ELECTRONIC HEALTH RECORD INCENTIVE PAYMENT,,2025-11-19 23:10:51
BA001007ITEM FURNISHED IN CONJUNCTION WITH PARENTERAL ENTERAL NUTRITION (PEN) SERVICES  ITEM W PEN SERVICES                                                                                                                       C                                      2003010120030101        N,,2025-11-19 23:10:51
BL001007SPECIAL ACQUISITION OF BLOOD AND BLOOD PRODUCTS                                 SPEC ACQUISITION BLOOD PRODS                                                                                                              C                                      2005070120050701        N,,2025-11-19 23:10:51
"BO001007ORALLY ADMINISTERED NUTRITION, NOT BY FEEDING TUBE                              NUTRITION ORAL ADMIN NO TUBE                                                                                                              C                                      2003010120030101        N",,2025-11-19 23:10:51
BP001007THE BENEFICIARY HAS BEEN INFORMED OF THE PURCHASE AND RENTAL OPTIONS AND HAS    BENE ELECTD TO PURCHASE ITEM                                                                                                              C                                      1992010119970101        N,,2025-11-19 23:10:51
BP002008ELECTED TO PURCHASE THE ITEM,,2025-11-19 23:10:51
BR001007THE BENEFICIARY HAS BEEN INFORMED OF THE PURCHASE AND RENTAL OPTIONS AND HAS    BENE ELECTED TO RENT ITEM                                                                                                                 C                                      1992010119970101        N,,2025-11-19 23:10:51
BR002008ELECTED TO RENT THE ITEM,,2025-11-19 23:10:51
BU001007THE BENEFICIARY HAS BEEN INFORMED OF THE PURCHASE AND RENTAL OPTIONS AND AFTER  BENE UNDECIDED ON PURCH/RENT                                                                                                              C                                      1992010119970101        N,,2025-11-19 23:10:51
BU00200830 DAYS HAS NOT INFORMED THE SUPPLIER OF HIS/HER DECISION,,2025-11-19 23:10:51
CA001007PROCEDURE PAYABLE ONLY IN THE INPATIENT SETTING WHEN PERFORMED EMERGENTLY ON AN PROCEDURE PAYABLE INPATIENT                                                                                                               C                                      2003010120030101        N,,2025-11-19 23:10:51
CA002008OUTPATIENT WHO EXPIRES PRIOR TO ADMISSION,,2025-11-19 23:10:51
CB001007SERVICE ORDERED BY A RENAL DIALYSIS FACILITY (RDF) PHYSICIAN AS PART OF THE     ESRD BENE PART A SNF-SEP PAY                                                                                                              C                                      2003040120040101        N,,2025-11-19 23:10:51
"CB002008ESRD BENEFICIARY'S DIALYSIS BENEFIT, IS NOT PART OF THE COMPOSITE RATE, AND IS",,2025-11-19 23:10:51
CB003008SEPARATELY REIMBURSABLE,,2025-11-19 23:10:51
CC001007PROCEDURE CODE CHANGE (USE 'CC' WHEN THE PROCEDURE CODE SUBMITTED WAS CHANGED   PROCEDURE CODE CHANGE                                                                                                                     C                                      1990010119970101        N,,2025-11-19 23:10:51
CC002008EITHER FOR ADMINISTRATIVE REASONS OR BECAUSE AN INCORRECT CODE WAS FILED),,2025-11-19 23:10:51
