code,description,last_updated
3;N;X;01;A00;A00.-;A00;A00;CHOLERA;CHOLERA;;;001;4-002;3-003;2-001;1-002,,2025-11-20 20:18:05
"4;T;X;01;A00;A00.0;A00.0;A000;CHOLERA DUE TO VIBRIO CHOLERAE 01, BIOVAR CHOLERAE;CHOLERA;CHOLERA DUE TO VIBRIO CHOLERAE 01, BIOVAR CHOLERAE;;001;4-002;3-003;2-001;1-002",,2025-11-20 20:18:05
"4;T;X;01;A00;A00.1;A00.1;A001;CHOLERA DUE TO VIBRIO CHOLERAE 01, BIOVAR ELTOR;CHOLERA;CHOLERA DUE TO VIBRIO CHOLERAE 01, BIOVAR ELTOR;;001;4-002;3-003;2-001;1-002",,2025-11-20 20:18:05
"4;T;X;01;A00;A00.9;A00.9;A009;CHOLERA, UNSPECIFIED;CHOLERA;CHOLERA, UNSPECIFIED;;001;4-002;3-003;2-001;1-002",,2025-11-20 20:18:05
3;N;X;01;A00;A01.-;A01;A01;TYPHOID AND PARATYPHOID FEVERS;TYPHOID AND PARATYPHOID FEVERS;;;002;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A01.0;A01.0;A010;TYPHOID FEVER;TYPHOID AND PARATYPHOID FEVERS;TYPHOID FEVER;;002;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A01.1;A01.1;A011;PARATYPHOID FEVER A;TYPHOID AND PARATYPHOID FEVERS;PARATYPHOID FEVER A;;002;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A01.2;A01.2;A012;PARATYPHOID FEVER B;TYPHOID AND PARATYPHOID FEVERS;PARATYPHOID FEVER B;;002;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
4;T;X;01;A00;A01.3;A01.3;A013;PARATYPHOID FEVER C;TYPHOID AND PARATYPHOID FEVERS;PARATYPHOID FEVER C;;002;4-002;3-003;2-003;1-004,,2025-11-20 20:18:05
"4;T;X;01;A00;A01.4;A01.4;A014;PARATYPHOID FEVER, UNSPECIFIED;TYPHOID AND PARATYPHOID FEVERS;PARATYPHOID FEVER, UNSPECIFIED;;002;4-002;3-003;2-003;1-004",,2025-11-20 20:18:05
